"","Focal","Other","NN","QGr","Rr","LRr","Wr"
"1","1","2","1",0.323,0.242,0.248,0.192
"2","3","45","1",-0.008,0.165,0.14,0.05
"3","4","46","1",-0.168,-0.003,-0.04,-0.166
"4","5","48","1",-0.012,0.079,0.019,0.005
"5","6","73","1",-0.116,0.021,-0.131,-0.104
"6","7","50","1",-0.054,0.023,-0.014,-0.101
"7","8","7","1",0.052,0.032,-0.011,-0.029
"8","9","51","1",-0.017,0.007,-0.02,-0.138
"9","12","N8","1",0.091,0.046,-0.022,0.016
"10","13","52","1",-0.029,0.02,-0.02,-0.139
"11","14","N1","1",-0.04,0.03,-0.022,-0.112
"12","15","49","1",0.27,0.111,0.062,0.19
"13","16","N2","1",0.052,0.038,-0.015,0.035
"14","17","N3","1",0.108,0.043,-0.019,0.015
"15","20","53","1",0.209,0.195,0.201,0.223
"16","21","22","1",0.097,0.084,0.013,0.102
"17","22","54","1",0.145,0.061,0.009,0.04
"18","23","55","1",0.002,0.029,-0.015,-0.091
"19","24","56","1",0.25,0.142,0.074,0.29
"20","26","N6","1",0.079,0.121,0.091,0.076
"21","27","58","1",-0.052,0.011,-0.075,-0.113
"22","28","N5","1",-0.068,0.102,0.073,-0.025
"23","29","59","1",0.168,0.242,0.099,0.201
"24","30","37","1",-0.073,0.05,-0.013,0.04
"25","32","60","1",0.018,0.045,-0.007,-0.006
"26","39","40","1",-0.022,0.018,-0.031,-0.088
"27","43","47","1",-0.08,0.033,-0.011,-0.126
"28","45","71","1",0.036,0.197,0.078,-0.028
"29","48","73","1",0.12,0.033,-0.022,-0.049
"30","60","82","1",-0.114,-0.008,-0.036,-0.214
"31","66","67","1",0.143,0.189,0.204,0.19
"32","67","68","1",0.039,0.045,-0.01,-0.028
"33","68","69","1",0.042,0.062,0.006,0.025
"34","70","1","1",0.168,0.135,0.104,0.186
"35","72","46","1",0.042,0.023,-0.023,-0.047
"36","73","74","1",0.399,0.382,0.349,0.385
"37","75","76","1",0.235,0.192,0.18,0.249
"38","76","77","1",0.3,0.122,0.17,0.255
"39","77","78","1",-0.285,0.018,-0.105,-0.164
"40","78","79","1",0.44,0.571,0.42,0.425
"41","80","81","1",-0.019,0.029,-0.021,-0.06
"42","83","60","1",0.073,0.033,-0.012,-0.1
"43","84","32","1",-0.147,-0.011,-0.08,-0.207
"44","85","86","1",-0.324,-0.017,-0.039,-0.25
"45","2D","N6","1",-0.054,0.027,-0.014,-0.055
"46","1","3","0",0.097,0.152,0.076,0.106
"47","1","4","0",-0.108,0.055,0.002,-0.092
"48","1","5","0",0.044,0.069,0.021,0.018
"49","1","6","0",0.096,0.062,0.004,0.014
"50","1","7","0",0.177,0.305,0.202,0.075
"51","1","8","0",-0.001,0.062,0.008,-0.045
"52","1","9","0",0.071,0.063,0.009,-0.04
"53","1","12","0",0.065,0.06,0.01,-0.037
"54","1","13","0",-0.145,-0.002,-0.05,-0.198
"55","1","14","0",-0.078,0.006,-0.048,-0.144
"56","1","15","0",-0.073,0.013,-0.036,-0.076
"57","1","16","0",-0.073,0.062,0.008,-0.059
"58","1","17","0",-0.001,0.051,-0.002,0.003
"59","1","20","0",-0.039,0.02,-0.04,-0.071
"60","1","21","0",0.057,0.099,0.033,0.02
"61","1","22","0",-0.001,0.036,-0.015,-0.084
"62","1","23","0",-0.001,0.006,-0.042,-0.1
"63","1","24","0",0.049,0.049,-0.008,-0.066
"64","1","26","0",-0.008,0.016,-0.032,-0.148
"65","1","27","0",0.035,0.054,0.001,-0.068
"66","1","28","0",0.142,0.062,0.009,0.021
